exp_id,api_load,solvent_ratio,polymer_pct,surfactant_pct,ph,viscosity,process_temp,mix_time,permeability_score,irritation_risk,stability_days,qc_fail
EXP-00000,3.1629677863628687,0.0838709717464019,1.2264334637403191,1.1723702006612604,7.898510885011369,29.163429305226945,36.40721458770868,7.637916966287795,49.04772207934875,0.7982288668927087,242.57436738907222,0
EXP-00001,4.4963476247509195,0.7118892006455335,1.8962879994067965,0.9100888452776955,4.065770788053857,15.346522960172047,43.59377557201232,28.060707083367642,75.94975195662157,0.8392245642155813,198.92701893651355,1
EXP-00002,3.9008598822014484,0.2931418612212162,4.769039961969387,2.300173309973521,7.569515577994346,13.176711461993529,38.40154545600051,21.150349741092327,68.36467309752935,0.8821972934974516,228.74755890923686,0
EXP-00003,1.2035152309539003,0.9001690139594192,7.493013977971429,2.5257949323003888,7.0698649203643384,13.631939676557872,25.19977559258721,5.046308919242131,78.0439468235292,0.747343834019241,265.9043287366387,0
EXP-00004,1.5708147960650047,0.8936314265000909,3.774196989520272,2.632195698081972,5.327426750603284,13.826837135501501,35.83011934182678,37.19628900758954,83.68818554314001,0.8182565738525293,217.8571888614751,0
EXP-00005,4.380411882441683,0.9363866543602676,1.6066190631928823,0.5078474425694044,6.721818163247235,26.324517982032734,27.46539506598195,40.66376321428308,68.1349418825356,0.7392438789092999,210.0539471322811,0
EXP-00006,0.12579999237131617,0.256128506326879,4.757523925823496,0.5908729408276544,5.478599726281946,18.260992204829538,40.25094313870768,43.45156283131238,53.13880435231306,0.6109473438828815,262.4948093705522,0
EXP-00007,4.124019250075555,0.0006567583558413359,7.660036756868581,1.387810143214236,6.547352860877842,23.635056648635697,31.104135835390128,29.702024389037838,58.69384231300698,0.8337437092266632,283.891520274846,0
EXP-00008,4.0056402008850265,0.38760541758153966,6.944604179741445,2.902703063014397,5.701408176015421,4.3330044075659755,24.740581186683034,27.077786149360715,79.41859439377203,0.8145595456839608,271.9331901528019,0
EXP-00009,2.3928812689342323,0.9625630415718619,7.191653403904059,1.8610764136032372,7.660090263390487,17.185684569415887,25.84743011636582,10.382712736832206,78.9459686668273,0.7810718148600126,210.6896769582498,1
EXP-00010,1.5848588914146364,0.7637419254383909,3.284176424406253,1.8700806481709424,5.830446843455818,23.04293676659651,20.30481747335892,43.4580803004337,75.060528978806,0.7137735894717733,257.0070362502168,0
EXP-00011,1.4642854992937895,0.05965988001432254,2.0983577493628154,0.9800216831612815,7.249242860706352,33.21857291404689,27.753943197007736,33.598551767999496,43.64533283324432,0.6339111342897173,263.7803773168248,0
